10242211215139522722S  121291121  232270421 6312 22621 .48                              
10242911215133211234S  1232321122 232257321 5211 115112.08                              
10244511215135414141U  3 31512122 11214251699992 113231.66HISPANIC                      
10244611215133521234S  149251121  112156211 74341225131.13                              
1024601121513530 642S  1212522122 132254521 4213911421 .83                              
10246811215139314731R  122351121  132268321 2112 22611 .39                              
10247911215132191823S  131232121  222257621 7413222531 .44                              
1024821121513209 643U  3 2151211  23227342199911 22621 .54                              
10249811215138471723S  113351211  112155321 7411 22511 .50                              
10250311215137035135S  3 1352111  232289321 5211 22611 .85                              
10251111215134234733U  3 2159211  232184421 1113122621 .48                              
1025141121513970 841R  123311221  211150422 3132 22422 .75                              
10251711215132104834U  131251211  112263421 5213122521 .62                              
10252011215139724835U  111232121  232265421 6313222621 .77                              
1025271121513970 842U  131292121  112258821 7413222531 .32                              
10252911215139364831R  3 2321211  132268321 2115122611 .39                              
10253011215139522725S  3 3351211  21124662999411 22439 .68                              
1025341121513205 131R  1311599922 13226732299915211612 .47                              
1025351121513623 443S  121251121  232266622 7413222632 .32                              
10255111215135804031R  113251211  212262821 8411 22531 .46                              
10256311215136012831R  131292111  312299522 2112 22922 .56                              
10257911215135072721R  113351121  212261321 6333922511 .88                              
10258911215135631921R  9 3351921  21225542199913922521 .80                              
10259111215136301725U  121241211  211239522 6312 223222.12                              
10259211215138174835S  3 2251121  212166421 6312 22621 .70                              
